Effective date 	S&P GSCI Kansas Wheat TR	S&P GSCI Kansas Wheat ER	S&P GSCI Kansas Wheat
2010-03-31	54.76	39.58	141.75
2010-04-01	55.74	40.29	144.28
2010-04-05	55.95	40.44	144.82
2010-04-06	57.11	41.27	147.81
2010-04-07	58.35	42.17	151.04
2010-04-08	57.58	41.61	149.7
2010-04-09	57.35	41.44	149.75
2010-04-12	57.42	41.5	150.59
2010-04-13	58.46	42.24	153.97
2010-04-14	58.19	42.05	153.95
2010-04-15	58.89	42.56	155.79
2010-04-16	60.05	43.4	158.86
2010-04-19	57.3	41.4	151.57
2010-04-20	59.5	43	157.41
2010-04-21	59.27	42.83	156.79
2010-04-22	60.46	43.69	159.94
2010-04-23	59.94	43.31	158.56
2010-04-26	58.14	42.01	153.8
2010-04-27	58.37	42.18	154.41
2010-04-28	58.25	42.1	154.11
2010-04-29	58.89	42.56	155.79
2010-04-30	59.73	43.16	158.02
2010-05-03	59.53	43.02	157.48
2010-05-04	60.63	43.81	160.4
2010-05-05	60.81	43.94	160.86
2010-05-06	60.29	43.56	159.48
2010-05-07	60.46	43.69	159.94
2010-05-10	58.95	42.6	155.95
2010-05-11	59.13	42.72	156.41
2010-05-12	58.84	42.51	155.64
2010-05-13	57.65	41.66	152.49
2010-05-14	56.98	41.17	150.73
2010-05-17	56.87	41.09	150.42
2010-05-18	56.63	40.92	149.81
2010-05-19	57.04	41.22	150.88
2010-05-20	57.16	41.3	151.19
2010-05-21	57.45	41.51	151.96
2010-05-24	56.93	41.13	150.58
2010-05-25	56.26	40.65	148.81
2010-05-26	56.72	40.98	150.04
2010-05-27	57.19	41.32	151.27
2010-05-28	55.88	40.38	147.81
2010-06-01	55.48	40.08	146.74
2010-06-02	54.98	39.73	145.43
2010-06-03	54.72	39.54	144.74
2010-06-04	53.97	38.99	142.75
2010-06-07	53.62	38.74	142.56
2010-06-08	53.62	38.74	143.27
2010-06-09	53.17	38.41	142.81
2010-06-10	53.68	38.78	144.93
2010-06-11	54.2	39.15	147.05
2010-06-14	55.55	40.14	150.73
2010-06-15	55.44	40.05	150.42
2010-06-16	56.8	41.03	154.11
2010-06-17	57.31	41.4	155.49
2010-06-18	57.53	41.57	156.1
2010-06-21	57.82	41.77	156.87
2010-06-22	57.2	41.32	155.18
2010-06-23	57.28	41.38	155.41
2010-06-24	57.14	41.28	155.03
2010-06-25	55.98	40.44	151.88
2010-06-28	55.41	40.03	150.35
2010-06-29	54.2	39.15	147.05
2010-06-30	56.12	40.54	152.26
2010-07-01	57.71	41.69	156.56
2010-07-02	58.39	42.18	158.4
2010-07-06	58.95	42.59	159.94
2010-07-07	61.72	44.59	167.46
2010-07-08	63.59	45.94	172.53
2010-07-09	62.6	45.22	169.84
2010-07-12	62.74	45.33	170.22
2010-07-13	64.13	46.33	173.98
2010-07-14	64.78	46.8	175.75
2010-07-15	68.54	49.52	185.96
2010-07-16	67.78	48.96	183.88
2010-07-19	67.36	48.66	182.73
2010-07-20	66.71	48.19	180.97
2010-07-21	68.07	49.17	184.65
2010-07-22	69.23	50.01	187.8
2010-07-23	69.59	50.27	188.8
2010-07-26	69.25	50.03	187.87
2010-07-27	69.59	50.27	188.8
2010-07-28	71.38	51.56	193.63
2010-07-29	73.13	52.83	198.39
2010-07-30	76.33	55.14	207.06
2010-08-02	79.27	57.26	215.04
2010-08-03	77.52	55.99	210.28
2010-08-04	82.21	59.39	223.02
2010-08-05	88.27	63.76	239.45
2010-08-06	81.48	58.85	221.03
2010-08-09	81.48	58.85	222.96
2010-08-10	80.61	58.22	221.49
2010-08-11	80.29	58	221.52
2010-08-12	82.01	59.23	227.17
2010-08-13	81.79	59.07	226.55
2010-08-16	77.91	56.27	215.81
2010-08-17	76.66	55.37	212.36
2010-08-18	77.58	56.03	214.89
2010-08-19	79.82	57.65	221.11
2010-08-20	79.82	57.65	221.11
2010-08-23	81.07	58.55	224.56
2010-08-24	79.3	57.27	219.65
2010-08-25	76.58	55.31	212.13
2010-08-26	78.13	56.43	216.42
2010-08-27	79.13	57.15	219.19
2010-08-30	80.24	57.95	222.26
2010-08-31	77.86	56.23	215.66
2010-09-01	80.55	58.17	223.1
2010-09-02	81.16	58.61	224.79
2010-09-03	83.98	60.66	232.62
2010-09-07	83.46	60.27	231.16
2010-09-08	81.41	58.79	225.48
2010-09-09	84.23	60.84	233.31
2010-09-10	84.15	60.78	233.08
2010-09-13	85.29	61.6	236.22
2010-09-14	84.93	61.34	235.23
2010-09-15	84.21	60.82	233.23
2010-09-16	83.18	60.07	230.39
2010-09-17	85.15	61.5	235.84
2010-09-20	83.96	60.64	232.54
2010-09-21	83.13	60.03	230.24
2010-09-22	83.82	60.54	232.16
2010-09-23	81.72	59.01	226.32
2010-09-24	83.96	60.64	232.54
2010-09-27	82	59.21	227.09
2010-09-28	79.36	57.31	219.8
2010-09-29	79.47	57.39	220.11
2010-09-30	78.45	56.65	217.27
2010-10-01	76.4	55.17	211.59
2010-10-04	75.71	54.67	209.67
2010-10-05	77.7	56.11	215.2
2010-10-06	77.32	55.83	214.12
2010-10-07	77.54	55.99	214.74
2010-10-08	84.08	60.72	232.85
2010-10-11	82.78	59.77	229.24
2010-10-12	83.25	60.11	230.55
2010-10-13	82.36	59.47	228.09
2010-10-14	82.08	59.27	227.32
2010-10-15	82.58	59.63	228.7
2010-10-18	81.14	58.59	224.71
2010-10-19	79.31	57.27	219.65
2010-10-20	80.92	58.43	224.1
2010-10-21	79.43	57.35	219.95
2010-10-22	79.7	57.55	220.72
2010-10-25	80.01	57.77	221.57
2010-10-26	81.87	59.11	226.71
2010-10-27	83.58	60.36	231.47
2010-10-28	85.5	61.74	236.76
2010-10-29	85.47	61.72	236.68
2010-11-01	83.61	60.38	231.54
2010-11-02	82.98	59.91	229.78
2010-11-03	82.76	59.75	229.16
2010-11-04	85.25	61.56	236.07
2010-11-05	87.13	62.92	242.26
2010-11-08	88.18	63.67	246.11
2010-11-09	87.26	63	244.5
2010-11-10	85.71	61.89	241.15
2010-11-11	85.19	61.51	240.68
2010-11-12	81.04	58.51	228.93
2010-11-15	81.31	58.71	229.7
2010-11-16	76.69	55.37	216.65
2010-11-17	77.23	55.77	218.19
2010-11-18	78.89	56.96	222.87
2010-11-19	78.81	56.9	222.64
2010-11-22	79.14	57.14	223.56
2010-11-23	79.06	57.08	223.33
2010-11-24	79.87	57.67	225.63
2010-11-26	80.06	57.81	226.17
2010-11-29	80.69	58.26	227.94
2010-11-30	81.02	58.49	228.86
2010-12-01	86.5	62.45	244.36
2010-12-02	87.13	62.91	246.12
2010-12-03	89.33	64.49	252.34
2010-12-06	90.93	65.65	256.87
2010-12-07	90.47	65.32	255.56
2010-12-08	91.02	65.71	257.1
2010-12-09	91.7	66.2	259.02
2010-12-10	90.42	65.28	255.41
2010-12-13	90.77	65.53	256.41
2010-12-14	88.57	63.95	250.19
2010-12-15	88.17	63.65	249.04
2010-12-16	87.3	63.02	246.59
2010-12-17	88.22	63.69	249.19
2010-12-20	89.77	64.81	253.57
2010-12-21	89.83	64.85	253.72
2010-12-22	91.78	66.26	259.25
2010-12-23	91.84	66.3	259.4
2010-12-27	91.7	66.2	259.02
2010-12-28	93.52	67.52	264.16
2010-12-29	93.22	67.3	263.32
2010-12-30	91.68	66.18	258.94
2010-12-31	92.49	66.77	261.24
2011-01-03	93.8	67.71	264.93
2011-01-04	92.3	66.63	260.71
2011-01-05	94.91	68.52	268.07
2011-01-06	93.31	67.36	263.55
2011-01-07	91.98	66.4	259.79
2011-01-10	91.46	66.02	258.33
2011-01-11	91.08	65.75	257.25
2011-01-12	92.61	66.85	261.55
2011-01-13	94.4	68.14	266.62
2011-01-14	93.48	67.48	264.01
2011-01-18	95.27	68.77	269.07
2011-01-19	95.38	68.85	269.38
2011-01-20	96.33	69.54	272.06
2011-01-21	97.83	70.61	276.29
2011-01-24	98.7	71.24	278.74
2011-01-25	99.73	71.99	281.66
2011-01-26	102.18	73.75	288.56
2011-01-27	101.36	73.16	286.26
2011-01-28	99.13	71.56	279.97
2011-01-31	100.52	72.56	283.88
2011-02-01	100.44	72.5	283.65
2011-02-02	103.57	74.75	292.48
2011-02-03	103.16	74.46	291.33
2011-02-04	102.48	73.97	289.41
2011-02-07	103.65	74.81	293.38
2011-02-08	105.66	76.26	299.77
2011-02-09	107.39	77.51	305.37
2011-02-10	105.23	75.96	299.92
2011-02-11	105.77	76.34	302.15
2011-02-14	106.18	76.64	303.3
2011-02-15	102.55	74.02	292.94
2011-02-16	101.1	72.97	288.8
2011-02-17	103.6	74.77	295.93
2011-02-18	101.1	72.97	288.8
2011-02-22	95	68.57	271.37
2011-02-23	95.68	69.05	273.29
2011-02-24	93.8	67.7	267.92
2011-02-25	96.62	69.73	275.98
2011-02-28	98.07	70.78	280.12
2011-03-01	98.02	70.74	279.97
2011-03-02	97.8	70.59	279.36
2011-03-03	98.69	71.22	281.89
2011-03-04	99.79	72.02	285.03
2011-03-07	96.57	69.69	275.83
2011-03-08	93.93	67.79	268.3
2011-03-09	91.73	66.2	262.01
2011-03-10	89.96	64.92	256.95
2011-03-11	88.45	63.84	252.65
2011-03-14	88.72	64.03	253.42
2011-03-15	83.51	60.27	238.53
2011-03-16	83.64	60.37	238.91
2011-03-17	89.31	64.46	255.1
2011-03-18	90.82	65.54	259.4
2011-03-21	90.5	65.31	258.48
2011-03-22	90.82	65.54	259.4
2011-03-23	89.21	64.38	254.8
2011-03-24	91.71	66.18	261.93
2011-03-25	91.9	66.32	262.47
2011-03-28	91.2	65.81	260.48
2011-03-29	93.19	67.25	266.16
2011-03-30	92.65	66.86	264.62
